Word,Definition,Example
lethargic,in a state of sluggishness or apathy,The summer sun in Florida will make even the zestiest exerciser feel lethargic and tired.
liability,"a) a legal responsibility, b) a handicap, burden",a) The court determined that the driver of the truck had the liability for the blown tires. b) Having unconcerned and undedicated players on any team would be a liability.
libertarian,advocating principles of liberty and free will,The libertarian candidate spoke of free will and the volition of each individual.
licentious,displaying a lack of moral or legal restraints,"The licentious woman said, ""Hello, sugar pumpkin, has your little wifey left yet?"""
limpid,"clear, transparent",The so-called zero-fat skim milk was so limpid you could see through it.
litigant,a party engaged in a lawsuit,The litigants finally reached a settlement out of court.
litigation,the process of taking legal action,The company wanted to avoid costly litigation.
livid,"a) extremely angry, b) discolored",a) She was livid when she discovered the betrayal. b) His arm was livid with bruises.
loathe,to hate,She loathes getting up early in the morning.
lofty,"a) very high, b) noble",a) The lofty peak was covered in snow. b) He pursued lofty ideals.
loquacious,talkative,The loquacious child chattered throughout dinner.
lucid,"clear, easily understood",Her lucid explanation made the concept simple.
lucrative,profitable,The investment proved to be quite lucrative.
ludicrous,"ridiculous, absurd",The excuse was so ludicrous no one believed it.
lugubrious,"sad, mournful",The lugubrious music matched the somber mood.
lumber,to move slowly and heavily,The bear lumbered through the forest.
luminous,"giving off light, bright",The luminous stars filled the night sky.
lush,"rich, abundant",The tropical island had lush vegetation.
magnanimous,"generous, forgiving",The victor was magnanimous in victory.
magnate,"a powerful or influential person, especially in business",The oil magnate controlled vast resources.
maladroit,"clumsy, tactless",His maladroit comments offended everyone.
malady,an illness or disease,She suffered from a mysterious malady.
malaise,a general feeling of discomfort or unease,A sense of malaise pervaded the community.
malfeasance,misconduct by a public official,The official was charged with malfeasance.
malevolent,wishing harm to others,The malevolent witch cursed the kingdom.
malice,intent to do harm,The attack was carried out with malice.
malign,to speak ill of,He maligned his opponent with false accusations.
malleable,capable of being shaped,Gold is a malleable metal.
malodorous,having a bad smell,The malodorous garbage needed to be taken out.
manifest,"a) obvious, evident, b) to show, reveal",a) Her disappointment was manifest. b) The symptoms manifested after a week.
manifesto,a public declaration of intentions,The party issued a manifesto outlining its policies.
mar,"to damage, spoil",The scandal marred his reputation.
marshal,"to organize, arrange",They marshaled their forces for the final battle.
martyr,one who suffers for a cause,He became a martyr for civil rights.
matriculate,to enroll in college,She matriculated at Harvard last fall.
maudlin,overly sentimental,The maudlin movie made everyone cry.
maverick,an independent-minded person,"As a political maverick, he refused to follow party lines."
mawkish,excessively sentimental,The mawkish greeting card was too sweet for her taste.
maxim,a general truth or rule of conduct,Honesty is the best policy is a well-known maxim.
meager,deficient in quantity,The meager salary barely covered expenses.
meandering,"winding, rambling",The meandering river flowed through the valley.
meddlesome,interfering,The meddlesome neighbor was always in everyone's business.
mediocre,of moderate or low quality,The meal was mediocre at best.
medley,"a mixture, assortment",The concert featured a medley of popular songs.
melee,a confused fight,The protest descended into a melee.
mellifluous,sweet-sounding,Her mellifluous voice was perfect for singing lullabies.
mendacious,"lying, dishonest",The mendacious witness was caught in several lies.
mendicant,a beggar,The mendicant asked for spare change on the street corner.
mentor,a trusted advisor,She served as a mentor to young professionals.
mercenary,motivated purely by money,He took a mercenary approach to his work.
mercurial,"changeable, volatile",His mercurial temperament made him unpredictable.
meretricious,superficially attractive but false,The meretricious advertisement promised impossible results.
meticulous,extremely careful about details,She was meticulous in her research.
mettle,"courage, spirit",The challenge tested their mettle.
microcosm,a miniature representation of something larger,The small town was a microcosm of American society.
mien,"manner, bearing",Her confident mien impressed the interviewers.
migratory,moving from one place to another,Migratory birds fly south for the winter.
milieu,"environment, surroundings",She thrived in an academic milieu.
minuscule,extremely small,The error was minuscule but still noticeable.
minutiae,"small, trivial details",Don't get bogged down in minutiae.
mire,"a) swampy ground, b) a difficult situation",a) The vehicle got stuck in the mire. b) The project was mired in complications.
mirth,"amusement, merriment",The joke provoked much mirth among the guests.
misanthrope,one who hates humanity,The misanthrope lived alone in the woods.
miscreant,an evildoer,The miscreants vandalized the park.
miserly,"stingy, cheap",His miserly ways meant he never spent money on anything.
misnomer,an incorrect name,"Calling it a ""smartphone"" when it's so complicated is a misnomer."
mitigate,to make less severe,The medication helped mitigate the pain.
modicum,a small amount,There wasn't even a modicum of truth in his story.
mollify,"to soothe, pacify",She tried to mollify the angry customer.
molt,"to shed feathers, skin, etc.",Snakes molt their skin periodically.
momentous,very important,The signing of the treaty was a momentous occasion.
monarchy,rule by a king or queen,The country transitioned from monarchy to democracy.
monotonous,repetitively dull,The monotonous task put him to sleep.
moot,"debatable, no longer relevant",The question became moot after the decision was made.
morbid,unhealthily gloomy,He had a morbid fascination with death.
mordant,"sharply critical, biting",Her mordant wit often offended people.
moribund,"near death, stagnant",The moribund industry needed revitalization.
morose,"gloomy, sullen",He became morose after the bad news.
mortal,"a) subject to death, b) deadly",a) All humans are mortal. b) The enemies were engaged in mortal combat.
mortify,to humiliate,She was mortified by her mistake.
motley,composed of diverse elements,The motley crew was an unusual sight.
mottled,marked with spots of different colors,The mottled leaves showed signs of disease.
multifarious,having great variety,Her multifarious talents included painting and music.
mundane,"ordinary, commonplace",The mundane tasks of daily life can be tedious.
munificent,very generous,The munificent donation saved the charity.
muse,to think deeply,He mused about the meaning of life.
mutable,changeable,Fashion trends are highly mutable.
muted,subdued in tone,The muted colors created a peaceful atmosphere.
mutiny,rebellion against authority,The sailors staged a mutiny against the captain.
myopic,"a) nearsighted, b) lacking foresight",a) His myopic vision required glasses. b) The myopic policy ignored long-term consequences.
myriad,a vast number,There are myriad possibilities to consider.
nadir,the lowest point,His career reached its nadir after the scandal.
naive,lacking experience or sophistication,The naive tourist was easily fooled.
narcissist,one who is excessively self-absorbed,The narcissist talked only about himself.
nascent,coming into existence,The nascent industry showed great promise.
nebulous,"vague, unclear",The plan was too nebulous to implement.
nefarious,"wicked, evil",The nefarious plot was discovered just in time.
negate,"to nullify, deny",New evidence negated the original theory.
negligent,"careless, neglectful",The negligent driver caused the accident.
negligible,insignificant,The difference in price was negligible.
nemesis,an opponent one cannot defeat,The superhero finally confronted his nemesis.
neophyte,a beginner,"As a neophyte, she had much to learn."
nepotism,favoritism toward relatives,The hiring decision reeked of nepotism.
nettle,"to annoy, irritate",His constant questions nettled the teacher.
neutral,"impartial, unbiased",Switzerland remained neutral during the war.
nexus,a connection or link,The city served as a nexus for trade routes.
niche,"a) a recess in a wall, b) a specialized position",a) The statue was placed in a niche. b) She found her niche in graphic design.
niggardly,"stingy (note: while not etymologically related to a slur, this word is often avoided)",His niggardly tips angered the wait staff.
nihilism,belief that life is meaningless,His philosophy bordered on nihilism.
nimble,quick and light in movement,The nimble gymnast performed flawlessly.
nocturnal,active at night,Owls are nocturnal creatures.
noisome,"offensive, particularly to the sense of smell",The noisome fumes made everyone ill.
nomadic,wandering from place to place,The nomadic tribe traveled with the seasons.
nomenclature,a system of names,Scientific nomenclature can be confusing.
nominal,"in name only, insignificant",The fee was merely nominal.
nonchalant,casually indifferent,He was nonchalant about the criticism.
nondescript,lacking distinctive features,The building was nondescript and forgettable.
nonentity,a person of no importance,"In the company, he felt like a nonentity."
nonpareil,having no equal,She was a nonpareil in her field.
nonplussed,"confused, perplexed",The unexpected question left him nonplussed.
nostalgia,sentimental longing for the past,Looking at old photos filled her with nostalgia.
notable,worthy of attention,The scientist made several notable discoveries.
notorious,famous for something bad,The notorious criminal was finally captured.
novice,a beginner,"As a novice skier, she stuck to easy slopes."
noxious,"harmful, poisonous",The noxious gases were dangerous to inhale.
nuance,a subtle difference,The translator captured every nuance of meaning.
nullify,to make void,The court nullified the contract.
numinous,having a spiritual quality,The numinous experience left her changed.
obdurate,"stubborn, inflexible",The obdurate negotiator refused to compromise.
obedient,"compliant, submissive",The obedient dog followed every command.
obeisance,a gesture of respect,He made an obeisance before the king.
obese,extremely overweight,Obesity is a serious health concern.
obfuscate,"to confuse, make unclear",The politician tried to obfuscate the issue.
obituary,a notice of someone's death,The newspaper published an obituary for the mayor.
objective,"a) unbiased, b) a goal",a) The judge must remain objective. b) Our objective is to increase sales.
obligatory,"required, mandatory",Attendance at the meeting was obligatory.
oblique,"indirect, not straightforward",He made an oblique reference to the problem.
obliterate,to destroy completely,The bomb obliterated the building.
oblivious,"unaware, unmindful",She was oblivious to the danger.
obloquy,"abusive language, bad repute",The scandal brought obloquy upon his name.
obnoxious,highly offensive,His obnoxious behavior annoyed everyone.
obscure,"a) unclear, b) little known, c) to conceal",a) The meaning was obscure. b) He was an obscure poet. c) Fog obscured the view.
obsequious,overly submissive,The obsequious servant was eager to please.
obsolete,no longer in use,The technology became obsolete within years.
obstinate,stubbornly persistent,The obstinate child refused to eat his vegetables.
obstreperous,noisy and difficult to control,The obstreperous crowd needed to be calmed.
obtrusive,"pushy, too noticeable",The obtrusive salesman wouldn't take no for an answer.
obtuse,"a) slow to understand, b) not sharp",a) He was being deliberately obtuse. b) An obtuse angle is greater than 90 degrees.
obviate,"to prevent, make unnecessary",The new system obviated the need for manual entry.
odious,"hateful, repugnant",The odious crime shocked the community.
odyssey,"a long, eventful journey",Their cross-country trip was an odyssey.
officious,"meddlesome, overly eager to help",The officious clerk insisted on helping despite being told no.
ominous,"threatening, foreboding",The ominous clouds suggested a storm was coming.
omnipotent,all-powerful,"In the religion, God is omnipotent."
omnipresent,present everywhere,Social media seems omnipresent in modern life.
omniscient,all-knowing,The narrator had an omniscient point of view.
omnivorous,eating all kinds of food,"Bears are omnivorous, eating both plants and meat."
onerous,"burdensome, difficult",The onerous task took all day.
opaque,"not transparent, unclear",The opaque glass prevented anyone from seeing inside.
opportune,well-timed,This is an opportune moment to discuss the issue.
opportunist,one who takes advantage of opportunities,The opportunist seized on the situation for personal gain.
oppress,to keep down by unjust force,The dictator oppressed his people.
opprobrium,"disgrace, contempt",His actions brought opprobrium upon the entire family.
opulent,"wealthy, luxurious",The opulent mansion had every amenity imaginable.
oracle,"a) a wise advisor, b) a prophecy",a) She served as an oracle to the king. b) The oracle predicted great changes.
orator,a skilled public speaker,The orator captivated the audience.
ordain,"to decree, to officially appoint",He was ordained as a minister.
ordeal,a difficult experience,The interview was quite an ordeal.
orient,"to position, adjust to surroundings",New students need time to orient themselves to campus.
ornate,elaborately decorated,The ornate ceiling was covered in frescoes.
orthodox,"conventional, adhering to established doctrine",Orthodox medicine rejected the new treatment.
oscillate,to swing back and forth,The pendulum oscillated steadily.
ossify,"to harden, become rigid",His attitudes had ossified over the years.
ostensible,"apparent, professed","The ostensible reason for the visit was business, but he had other motives."
ostentatious,"showy, designed to impress",Her ostentatious jewelry drew everyone's attention.
ostracize,to exclude from a group,"After the scandal, he was ostracized from his club; he simply wandered around, regretting his egregious actions."
pacific,"soothing, trying to pacify","Both sides, the mediator, proposed many compromises."
palatable,agreeable to the taste or sensibilities,"That chocolate cake was the most palatable item on the table, even better than the buffet."
palette,a range of colors or qualities,"The multinational palette of the quilt was seen as the greatest gesture of peace, soothing even the most hardened of attendees."
palliate,"to reduce the severity of, ameliorate","Attempting to palliate the pain, Dr. Millett increased the morphine dosage."
pallid,lacking color,"The decorations were unique, but the bland color choices were a bit pallid for my taste."
panacea,a remedy for all ills or difficulties,"There are no panaceas in the real world; however, an apple a day might be the closest."
paradigm,an example that is a perfect pattern or model,Using computers as primary teaching tools is certainly a paradigm shift for our teachers.
paradox,an apparently contradictory statement that is perhaps true,The notion of time travel presents a multitude of paradoxes that are just beginning to be understood.
paragon,a model of excellence or perfection,"Hercules is a paragon of the traditional hero type: powerful, brave, and good."
paramount,"greatest in importance, rank, character",The paramount issue here is not his condition; it's the condition of his vast estate.
pariah,"an outcast, a repulsive person","After her expulsion from the Ladies' Club International, Cecilia became somewhat of a pariah, finding no other club that would take her."
parody,a satirical imitation,Saturday Night Live is one of the most noted television shows to ever use parody as its chief means of humor.
parsimony,"frugality, stinginess",The old miser's parsimony caused him to choose to eat cat food instead of steak.
partisan,"a follower, adherent","During national emergencies, there's no time or place for partisan politics; everyone must follow the designated leader's plan."
patent,"readily seen, understood, clear","When Janette didn't even know the combination to her husband's safe, it became patently clear what the problem really was."
pathology,"a deviation from the normal, study of disease",The pathology report made it clear that the tumor had definitely stopped growing and was perhaps even shrinking.
pathos,an emotion of sympathy,Even the perpetrators showed sincere pathos for the stricken family.
paucity,small in quantity,"Dwayne felt the paucity of available food meant that everyone should eat smaller portions, starting with him."
pejorative,"derogatory, uncomplimentary",Mark's pejorative comments to his wife were seen as proof positive that he no longer cared nor even respected her.
pellucid,"easily intelligible, clear",The mountain streams were so pellucid the brown and orange stones on the bottom could be seen with ease.
penchant,"a tendency, partiality, preference",Jeff's penchant for the dramatic had a perfect forum during the impending storm surge.
penitent,"remorseful, regretful","Marvin the murderer didn't seem the least bit penitent for his crimes; in fact, he smiled when they were mentioned."
penultimate,next to last,I believe Jim Ben's penultimate solution was better than the one he ultimately chose.
penurious,"miserly, stingy",Ethel's penurious habits caused her and her children to walk around in worn and tattered clothes.
perfidious,"disloyal, unfaithful","Even after he got married, it was hard for the swinging bachelor to give up his perfidious ways."
perfunctory,showing little interest or enthusiasm,The newsman delivered the bad news in such a perfunctory manner it seemed as though it was just another run-of-the-mill event.
permeate,"to spread throughout, saturate",Liquor or yeast tends to permeate everything it touches.
pernicious,extremely destructive or harmful,The pernicious intent of the invaders was made very evident when they drew their swords.
perplex,"to confuse, bewilder",A good military leader will always attempt to perplex his foes with some strategy.
perspicacity,"shrewdness, perceptiveness","Because of Will's perspicacity, he figured out the problem before it had a chance to grow."
pert,"flippant, bold",I thought Betty's manner was a bit too pert as she responded to her mother's questions.
pertinacious,"tenacious, stubbornly persistent",The twins had a pertinacious spirit that drove them to stick to their guns no matter what.
perusal,"a careful examination, review","After careful perusal of the layouts, we saw where the leaks had to be coming from."
pervasive,having the tendency to spread throughout,The airborne plague became pervasive throughout the countryside once the winds changed.
petulance,"rudeness, irritability",Such petulance demonstrated by anyone suggests a lack of respect for age and position.
philanthropic,"charitable, giving",The tycoon's philanthropic gesture fed thousands and housed tens of thousands.
phlegmatic,"uninterested, unresponsive",Monica became wholly phlegmatic when she found out their play wasn't going to be televised or even written about in the local paper.
pillage,"to seize or plunder, especially in war",The pillage left in the wake of the Viking's raid left the village destitute of food and gold.
pinnacle,the highest point,"When an athlete is at the pinnacle of his career, his skill level is simply off the charts."
pithy,concisely meaningful,"I love quotes and proverbs, especially the pithy varieties that say so much in so few words."
pittance,"a very small amount, especially relating to money","The only jobs available to the uneducated pay only a pittance, nothing near what it takes to support a family."
placate,"to ease the anger of, soothe","To placate the angry fans, the organization decided to offer free tickets to the next game."
placid,"calm, peaceful",The placid lake surface looked like a sheet of emerald glass glistening in the sunlight.
platitude,"an uninspired remark, cliché",Sometimes platitudes are used when nothing original can be thought of to say.
plaudits,"enthusiastic approval, applause",The plaudits given to the performance were an indication of the audience's approval.
plausible,"believable, reasonable","The detective's theory didn't seem possible at first, but after some musing it was seen as the only thing that could possibly be right."
plenitude,an abundance,"After the fierce rains, there was certainly a plenitude of fresh water for people and plants alike."
plethora,"an abundance, excess","There are a plethora of reasons why we should all tell the truth; all of them, however, eluded me that day."
pliable,flexible,The reeds of certain plants are so pliable they can be used to make very strong ropes.
poignant,"deeply affecting, moving","The message of that movie was quite poignant, causing the audience to think and rethink their own values."
polemic,an aggressive argument against a specific opinion,Alberto's polemic served to rebut his opponent and introduce a new view of reality.
portent,an omen,The witch's words were an ominous portent of tragedies to come for the great king.
potable,suitable for drinking,Creek water can be potable when spring water is scarce.
potentate,"one who has great power, a ruler",Nebuchadnezzar was one of the greatest potentates the world has ever known.
pragmatic,practical,Nancy's suggestion proved to be one of the most pragmatic to be discussed all day.
precipice,"the face of a cliff, a steep or overhanging place","Looking down from the icy precipice, the alpha wolf chose its prey."
preclude,to prevent,Concern for the welfare of others should preclude a person from ever even considering taking advantage of anyone.
precocious,"advanced, developing ahead of time","Pollyanna was the most precocious child in the class, many times beating her teacher to the answers."
predilection,a preference or inclination for something,"Due to Claude's predilection for seafood, his choice of evening fare was always predictable."
preponderance,superiority in importance or quantity,The preponderance of evidence pointed conclusively to the accused.
prepossessing,preoccupying the mind to the exclusion of all else,"Job's prepossessing thoughts were of Gloria only, morning, noon, and night."
presage,an omen,The sight of the dreaded albatross was the presage most disdained by old seamen.
prescient,to have foreknowledge of events,"Maggie was quite prescient, seeing the future as though it were the past."
prescribe,to lay down a rule,"The doctor prescribed several pills, multicolored and expensive."
presumptuous,disrespectfully bold,"Clyde, being the presumptuous lad that he was, went to pick up his prom date and found her already gone with someone else."
pretense,an appearance or action intended to deceive,"His anguish over her death was but a pretense, a ruse to suggest his own innocence."
primeval,"original, ancient",His suit was the color of primeval metal: brown and gray mixed with red.
privation,lacking basic necessities,Losing his job added tremendously to his family's privation and pain.
probity,"virtue, integrity",Helen's probity was in question when it appeared that she had lied to the investigators.
proclivity,a strong inclination toward something,"Because of human proclivity, there will always be crime and guile in the world."
procure,"to obtain, acquire","Trying to procure sustenance, the hungry man reluctantly stole from total strangers."
profane,"lewd, indecent",Stanley was suspended from school for three days for using profane language.
profligate,"dissolute, extravagant","The profligate shopper went to every store in the mall, buying many things she didn't need and couldn't afford."
profuse,"plentiful, abundant","After the 10-mile run in the 90-degree heat, the track team was dripping with profuse sweat."
promulgate,"to proclaim, make known",To promulgate the notion of ethnic superiority with not a shred of objective evidence is an act of idiocy.
propagate,"to multiply, spread out",Insects have learned to propagate their species in the most dire of survival circumstances.
propensity,"an inclination, preference",Those whose trust has been abused must guard against developing a propensity to mistrust everyone.
propitious,favorable,"As the propitious moment arrived at last, the signal was given and the race began."
propriety,"the quality or state of being proper, decent","Observing the dictates of social propriety, Evelyn allowed her guest to be seated first."
prosaic,"plain, lacking liveliness","The plot of the play was rather prosaic, having characters that sat around and slept for hours and didn't bother to even dream."
proscribe,"to condemn, outlaw",The court proscribed a sentence of not less than 30 years and not more than 50.
protean,"able to change shape, displaying great variety",Chief among Samuel's protean talents was the ability to start a fire with his mind.
prowess,extraordinary ability,The knight displayed his fighting prowess by defeating the Emerald-Eyed Dragon of Cole Mountain.
prudence,"cautious, circumspect",Prudence would dictate that one should get to know on a personal basis those with whom one shares secrets.
prurient,eliciting or possessing an extraordinary interest in sex,"Thanks to the internet, many adolescents have prurient interests that would flabbergast their parents."
puerile,"juvenile, immature",The young man was lectured by his professor for his puerile actions and told to go home and grow up.
pugnacious,"quarrelsome, combative","Pit bulls are infamous for their pugnacious dispositions, fighting anything at any time."
pulchritude,physical beauty,"In today's world, women possessing the greatest degree of pulchritude are called supermodels."
punctilious,eager to follow rules or conventions,There's nothing worse than an IRS agent who's punctilious by nature and choice.
pungent,"having a pointed, sharp quality, often describing smells","The pungent odor of bleach pervaded the hallways, blocking them as it were with its chemical barricade."
punitive,involving punishment,"When speeders are caught speeding through school zones, punitive measures are and should be guaranteed."
putrid,"rotten, foul",The putrid stench of the roadkill was all over his new tires.
quagmire,a difficult situation,Playing video games when you should be studying is one of the easiest ways to put yourself in an academic quagmire.
quaint,charmingly old-fashioned,"During our vacation in the mountains, we chanced to stay at a quaint little bed and breakfast."
quandary,a perplexing bad situation,"When my car stopped cold in the middle of a thunderstorm, I knew I was in a quandary."
quell,to control or diffuse a potentially explosive situation,"To quell the violence in the streets, the National Guard had to be called in."
querulous,"whiny, complaining","The passenger in the last seat is a querulous sort, complaining about the food, the service, and everything else near him."
quixotic,"idealistic, impractical",The quixotic cartoon fan wrote many letters to Bugs Bunny asking him about his friend Daffy Duck.
quotidian,daily,"Intent on tending to his quotidian chores, Mr. Simon focuses on nothing else."
rail,"to scold, protest",The tenured teachers began to rail against the lack of a cost of living increase.
rancid,having a terrible taste or smell,The meat in the box was terribly rancid; its odor was all over the house.
rancor,deep bitter resentment,"When the will was read, the jilted spouse was brimming with rancor when her late husband's estate was left to some woman he called Jesse Bell."
rapport,mutual understanding and harmony,It's a difficult task to develop a rapport with someone who is naturally introverted.
rash,"hasty, incautious","Don't be so rash in your judgment, Jonas; he may not be as bad as you think."
raucous,"loud, boisterous","Maria's raucous friends were over again last night, laughing, cursing, and singing their naughty songs."
raze,"to demolish, level",The demolition crew was called in to raze the condemned building before the hurricane season arrived.
rebuke,"to scold, criticize",Mr. Thomas rebuked his son sharply for missing his curfew for the second time this week.
recalcitrant,"defiant, unapologetic","The drunk driver was recalcitrant and rude to the officers, thus he got to spend 90 days in the county stockade."
recapitulate,"to sum up, repeat","The speaker began to recapitulate his main points, warning that they all must be remembered and acted upon."
reciprocate,to give in return,The Bonners were so cordial to us we felt the need to reciprocate their invitation.
reclusive,"solitary, shunning society","The reclusive clan moved back into the deep woods, away from every human being."
reconcile,"a) to return to harmony, b) to make consistent with existing ideas",a) The couple wanted to be reconciled but didn't know how to work through their problems. b) Several accountants were called in to reconcile the expenditures with the cash on hand.
rectitude,"uprightness, extreme morality",A high degree of rectitude should be a requisite for anyone serving in a public office.
redoubtable,"a) formidable, b) commanding respect",a) The attacking force was so redoubtable the defending troops cowered silently. b) The redoubtable commander entered the barracks and everyone stood at attention.
refract,"to distort, change","The light was refracted as it passed through the prism, breaking into a full spectrum."
refurbish,"to restore, clean up","For Mother's Day, we decided to refurbish her favorite rocking chair."
refute,to prove wrong,Martin was set to refute every argument but heard nothing with which he disagreed.
regurgitate,"a) to vomit, b) to throw back exactly","a) Sticking his fingers down his throat, Morris was trying to force himself to regurgitate. b) After studying his science chapters all night, Willie just regurgitated the information."
relegate,"a) to assign to the proper place, b) to assign to an inferior place","a) The experts from the bureau were quickly relegated to the evidence room. b) After her last debacle, Miriam was relegated to the laundry room to help wash and iron uniforms."
relish,to enjoy,"Seeing the chocolate-covered strawberries that he relished so, Baba almost cried."
remedial,intended to repair gaps in students' basic knowledge,"Because he scored so low on his assessment, Nolan was placed in a remedial class."
remiss,"negligent, failing to take care of","I would be remiss of me not to mention our visitors, said Headmaster Bedford."
renovate,"a) to restore, return to original state, b) to enlarge and beautify","a) The building was renovated and looked brand new. b) They renovated the kitchen, making it more spacious."
renounce,"to give up, reject",He renounced his claim to the throne.
repartee,witty conversation,The dinner party featured clever repartee among the guests.
replete,"filled, abundantly supplied",The buffet was replete with delicious options.
repose,"rest, peace",She found repose in the quiet garden.
reprehensible,deserving blame or censure,His reprehensible behavior shocked everyone.
reprieve,"a) a postponement of punishment, b) to postpone punishment",a) The governor granted a reprieve. b) The execution was reprieved at the last minute.
reprimand,to scold formally,The teacher reprimanded the student for cheating.
reproach,"to criticize, express disapproval",She reproached him for his carelessness.
reprobate,a morally unprincipled person,The old reprobate had spent years in and out of jail.
repudiate,"to reject, refuse to acknowledge",He repudiated the allegations against him.
repugnant,"offensive, disgusting",The idea was repugnant to her values.
reputed,believed to be,He is reputed to be the wealthiest man in town.
rescind,"to cancel, revoke",The committee voted to rescind the policy.
reserved,"restrained, holding back",She was reserved in her emotions.
resigned,accepting one's fate,He was resigned to his situation.
resilient,able to recover quickly,The resilient community rebuilt after the disaster.
resolute,"determined, unwavering",She was resolute in her decision.
resplendent,"dazzling, splendid",The bride looked resplendent in her gown.
restitution,compensation for loss or injury,The court ordered restitution to the victims.
restive,"restless, uneasy",The restive crowd grew impatient.
reticent,"reserved, reluctant to speak",He was reticent about his personal life.
retract,"to take back, withdraw",She retracted her statement after learning new facts.
retrench,"to cut back, reduce",The company had to retrench during the recession.
retrograde,moving backward,The retrograde motion of the planet was unusual.
revelry,noisy festivity,The revelry lasted until dawn.
revere,"to honor, respect greatly",The students revered their wise teacher.
reverent,showing deep respect,The audience maintained a reverent silence.
revile,to criticize harshly,The critics reviled the film.
revoke,"to cancel, take back",His license was revoked after the third offense.
rhetoric,the art of speaking or writing effectively,His rhetoric was impressive but lacked substance.
ribald,"crude, vulgar",The ribald jokes offended some guests.
rife,"abundant, widespread",The region was rife with corruption.
rift,"a break, split",The argument created a rift in their friendship.
rigorous,"strict, thorough",The training program was rigorous.
robust,"strong, healthy",He enjoyed robust health well into old age.
rogue,"a dishonest person, a mischievous individual",The rogue trader cost the company millions.
rout,"a disorderly retreat, a defeat",The army suffered a devastating rout.
rove,to wander,They roved through the countryside.
rudimentary,"basic, elementary",He had only a rudimentary understanding of physics.
rue,to regret,She would rue the day she made that decision.
ruminate,to think deeply,He ruminated on the problem for days.
rustic,"rural, simple",They stayed in a rustic cabin in the woods.
ruthless,without mercy,The ruthless dictator showed no compassion.
saccharine,overly sweet,The saccharine sentiment made her cringe.
sacrosanct,"sacred, inviolable",The Constitution is considered sacrosanct.
sagacious,"wise, shrewd",The sagacious advisor gave sound counsel.
sage,wise,The sage elder offered valuable advice.
salient,"most important, prominent",The salient points of the argument were clear.
salubrious,healthful,The salubrious climate aided his recovery.
salutary,beneficial,The experience had a salutary effect on his character.
sanction,"a) to approve, b) a penalty",a) The committee sanctioned the proposal. b) Economic sanctions were imposed.
sanctuary,a safe place,The church provided sanctuary to refugees.
sanguine,"optimistic, cheerful","Despite setbacks, he remained sanguine."
sardonic,"mocking, cynical",His sardonic comments revealed his skepticism.
satiate,to satisfy fully,The large meal satiated his hunger.
satire,the use of humor to criticize,The novel was a satire of modern society.
saturate,to soak thoroughly,The rain saturated the ground.
savant,a learned person,The mathematical savant solved complex problems with ease.
savor,"to enjoy, appreciate",She savored every bite of the delicious meal.
scant,barely sufficient,There was scant evidence to support the claim.
scapegoat,one who is blamed for others' mistakes,He became the scapegoat for the project's failure.
scathing,severely critical,The review was scathing in its assessment.
schism,"a division, split",The schism divided the church into two factions.
scintillating,brilliantly clever,Her scintillating wit charmed everyone.
scrupulous,"principled, very careful",He was scrupulous in his accounting practices.
scrutinize,to examine carefully,The inspector scrutinized every detail.
scurrilous,"vulgar, coarsely abusive",The scurrilous attacks damaged his reputation.
sectarian,relating to religious or political sects,Sectarian violence plagued the region.
secular,"worldly, not religious",The school maintained a secular curriculum.
sedate,"calm, quiet",Her sedate manner was reassuring.
sedentary,involving much sitting,A sedentary lifestyle can be unhealthy.
sedition,incitement of rebellion,He was charged with sedition.
sedulous,"diligent, persistent",Her sedulous efforts paid off.
seminal,highly influential,The seminal work changed the field forever.
senile,showing mental deterioration with age,The senile patient needed constant care.
sensory,relating to the senses,The exhibit provided a rich sensory experience.
sententious,given to moralizing,His sententious remarks annoyed everyone.
sentient,"conscious, aware",All sentient beings deserve respect.
serendipity,fortunate accidental discovery,Finding the rare book was pure serendipity.
serene,"calm, peaceful",The lake was serene at sunset.
servile,"submissive, slavish",His servile behavior was demeaning.
severance,"separation, disconnection",The company offered a severance package.
sham,"fake, false",The election was a complete sham.
shrewd,"astute, clever",The shrewd negotiator got the best deal.
sibyl,a female prophet,The ancient sibyl foretold the future.
simper,"to smile in a silly, affected way",She simpered at his compliments.
sinecure,a job requiring little work but paying well,The position was essentially a sinecure.
sinister,"threatening, evil",The sinister figure lurked in the shadows.
skeptic,one who doubts,The skeptic questioned every claim.
skimp,"to be frugal, scrimp",Don't skimp on quality ingredients.
slake,"to satisfy, quench",The water slaked his thirst.
slander,false spoken statements that damage reputation,The slander ruined his career.
sloth,laziness,Sloth is one of the seven deadly sins.
slovenly,"messy, untidy",His slovenly appearance was unprofessional.
sluggard,a lazy person,The sluggard refused to get out of bed.
smelt,to extract metal from ore by heating,They smelted iron from the ore.
sobriety,the state of being sober,He maintained his sobriety for years.
sodden,"soaked, saturated",The sodden ground squelched underfoot.
solace,comfort in distress,Music provided solace during difficult times.
solecism,a grammatical error,The essay was full of solecisms.
solemnity,"seriousness, gravity",The occasion called for solemnity.
solicit,to ask for,They solicited donations for the charity.
solicitous,showing care and concern,She was solicitous of his welfare.
solidarity,unity based on common interests,Workers showed solidarity by striking together.
soliloquy,a speech given alone,Hamlet's soliloquy is famous.
solipsism,the belief that only oneself exists,His philosophy bordered on solipsism.
solitary,"alone, isolated",The hermit lived a solitary existence.
